"variable_name","type","label","valid_range_or_values","pct_missing_raw","pct_missing_after_cleaning","imputation_treatment","notes"
"timestamp","POSIXct","Timestamp of survey submission","2021-04-27 to 2026",0,0,"None required - complete","618 entries flagged as outside 2021 survey period"
"age","character","Age group of respondent","under 18, 18-24, 25-34, 35-44, 45-54, 55-64, 65 or over",0,0,"None required - complete","18 respondents under 18 years old"
"industry","character","Industry respondent works in","Freetext - 1089 unique values",0.29,0.3,"Left missing - freetext, mode not dominant enough","85 missing, 96 lowercase entries corrected, Libraries merged into Library"
"job_title","character","Job title of respondent","Freetext",0,0,"Left missing - freetext","1 missing, 2 flagged as invalid punctuation only entries"
"job_title_context","character","Additional context for job title","Freetext - optional",74.18,74.19,"Left missing - structural skip pattern","74% missing - structural optional field"
"annual_salary","numeric","Annual salary in stated currency","Numeric - range 0 to 6000070000",0,0,"None required - complete","34 zeros, 102 below 1000, 1218 above IQR fence flagged"
"additional_comp","numeric","Additional monetary compensation","Numeric - range 0 to 120000000",26.13,0,"Constant imputation with 0 - survey wording indicates no bonus","7372 imputed with 0, 2045 above 500k flagged"
"currency","character","Currency of salary","USD, CAD, GBP, EUR, AUD/NZD, CHF, SEK, JPY, ZAR, HKD, Other",0,0,"None required - complete","11 valid currency categories"
"currency_other","character","Currency name if Other selected","Freetext - currency name",99.17,99.18,"Left missing - structural skip pattern","99% missing - only filled when currency is Other"
"income_context","character","Additional income context","Freetext - optional",89.14,89.15,"Left missing - structural skip pattern","89% missing - structural optional field"
"country","character","Country respondent works in","Freetext - 98 valid unique values after cleaning",0,0,"Left missing - freetext","26 invalid entries flagged, all variants mapped to canonical names"
"us_state","character","US state respondent works in","50 US states and DC",17.97,17.97,"Left missing - expected for non-US respondents","5070 missing for non-US respondents, 114 multi-state entries cleaned"
"city","character","City respondent works in","Freetext",0.03,0.43,"Left missing - freetext","121 missing, 187 remote entries flagged, 10 invalid entries flagged"
"exp_overall","character","Years of professional experience overall","1 year or less, 2-4 years, 5-7 years, 8-10 years, 11-20 years, 21-30 years, 31-40 years, 41 or more",0,0,"None required - complete","5-7 years band standardised to 5 - 7 years, 265 logic errors flagged"
"exp_field","character","Years of professional experience in field","1 year or less, 2-4 years, 5-7 years, 8-10 years, 11-20 years, 21-30 years, 31-40 years, 41 or more",0,0,"None required - complete","5-7 years band standardised to 5 - 7 years, 265 logic errors flagged"
"education","character","Highest level of education completed","College degree, High School, Masters degree, PhD, Professional degree, Some college",0.85,0,"Mode imputation with College degree","240 missing imputed with mode College degree"
"gender","character","Gender of respondent","Man, Woman, Non-binary, Other or prefer not to answer",0.66,0,"Constant imputation with Other or prefer not to answer","185 missing imputed, Prefer not to answer merged into Other or prefer not to answer"
"race","character","Race of respondent","Multi-select - 52 unique combinations",0.69,0,"Constant imputation with Prefer not to answer","196 missing imputed with Prefer not to answer"
